SleepQuality,Regularity,Steps,Alarm,PA,MovementsPerHour,TimeInBed,TimeAsleep,TimeBeforeSleep,Snore,SnoreTime,Temperature
1,85,10085,1,87.2,45.7,30477.6,29258.5,203.2,1,1243,77.7
1,78,2066,0,87.7,67.8,26826.9,26648,178.8,1,0,32
1,91,3500,1,87.5,35.3,22792.8,22640.9,152,1,0,70.2
1,90,11374,1,87.5,49.1,27738,24224.5,184.9,1,0,80.1
1,90,5746,1,87.5,63.2,27575.4,23071.4,183.8,1,222,32
1,48,5591,1,87.4,45.6,23082.6,18773.9,153.9,1,0,59.5
1,68,3832,1,87.1,60.7,28112.8,22209.1,187.4,1,0,53.4
0,73,1505,0,87.7,81.2,23999.4,21039.4,160,1,0,32
0,68,6335,1,87.9,60.7,21629,18240.4,144.2,1,0,52.9
0,89,6392,1,87.4,50.4,22052.1,21096.5,147,1,1127,55.8
1,80,3427,1,87.1,52.4,25188.9,22250.2,167.9,1,166,37.6
1,36,1805,0,87,50.2,31964.1,28128.4,213.1,1,0,32
0,38,3384,1,86.7,80,23682.8,21077.7,157.9,1,0,43.7
0,69,6070,1,86.6,61.5,23456.5,20954.5,156.4,1,0,37
0,76,4192,1,86.4,102.1,26481.3,22597.4,176.5,1,0,41.7
1,93,3824,1,86.8,51.4,28028.9,27842,186.9,1,0,34
0,18,4658,0,88.3,62.9,10956,10883,73,1,0,32
1,-61,1018,0,87.5,56.6,27780.9,22502.5,185.2,1,0,32
1,-4,2875,1,87.5,47.4,23825.7,20251.8,158.8,1,196,39.4
0,75,5983,1,87.5,75.3,22915.4,20318.3,152.8,1,0,40.1
1,93,5172,1,87.2,57.2,27739,27554.1,184.9,1,0,43.7
1,92,2415,1,87.3,58.7,25382.7,23605.9,169.2,1,0,28.8
1,89,4322,1,87.3,64,28404.3,24427.7,189.4,1,0,31.1
1,92,6773,1,87.6,38.1,26174.5,25040.2,174.5,1,520,30.9
1,96,7667,1,87.6,50.7,26540.3,22559.2,176.9,1,0,34.5
0,0,6478,1,87.1,0.5,6159.4,6036.3,123.2,1,0,39
1,83,0,0,87.2,64.9,30221.7,27703.2,201.5,1,0,32
0,0,3469,1,87.8,35,10807.4,7132.9,72,1,406,32
0,69,0,1,87.9,0,16735.9,16624.3,111.6,1,0,28.2
0,80,4070,1,87.1,44.3,20723.6,16371.6,138.2,0,0,38.1
1,83,6279,1,86.8,53.2,24590.6,24426.7,163.9,1,0,27.9
1,92,3970,1,87.3,66.1,27720.2,24948.2,184.8,1,110,32.4
0,0,8,1,88.1,0,4023.3,3942.8,80.5,1,0,43
